name,pypi_apiurl,git_repo
pycord,https://pypi.org/pypi/pycord/json,https://github.com/alesanfra/pycord.git
nextcord,https://pypi.org/pypi/nextcord/json,https://github.com/nextcord/nextcord.git
holiday-event-api,https://pypi.org/project/holiday-event-api/,https://github.com/westy92/holiday-event-api-python.git
Django,https://pypi.org/project/Django/,https://github.com/django/django
Flask,https://pypi.org/project/Flask/,https://github.com/pallets/flask/
pypokedex,https://pypi.org/pypi/pypokedex/json,https://github.com/arnavb/pypokedex.git
prefect-pokemon,https://pypi.org/pypi/prefect-pokemon/json,https://github.com/desertaxle/prefect-pokemon.git
pokemon,https://pypi.org/pypi/pokemon/json,https://github.com/vsoch/pokemon.git
pokemonlib,https://pypi.org/pypi/pokemonlib/json,https://github.com/arthuro555/pokemonlib.git
palettetown,https://pypi.org/pypi/palettetown/json,https://github.com/rowland-208/palettetown.git
disnake,https://pypi.org/pypi/disnake/json,https://github.com/DisnakeDev/disnake.git
discord.py,https://pypi.org/pypi/discord.py/json,https://github.com/Rapptz/discord.py.git
hikari,https://pypi.org/pypi/hikari/json,https://github.com/hikari-py/hikari.git
maze,https://pypi.org/project/maze/,https://github.com/daleobrien/maze
pixelate ,https://pypi.org/project/pixelate/,https://github.com/useless-tools/pixelate
boatman ,https://pypi.org/project/boatman/,https://github.com/jcrmatos/boatman
clinance,https://pypi.org/project/clinance/,https://github.com/havocesp/clinance
BoxArchive,https://pypi.org/project/BoxArchive/,https://github.com/sushshring/BoxArchive
tabgeo,https://pypi.org/project/tabgeo/,https://github.com/nimda7/tabgeo
mytimer,https://pypi.org/project/mytimer/,https://github.com/sepandhaghighi/mytimer